DateTime,Heavy_Vehicle,Commercial_Vehicle,Light_Vehicle,CongestionIndex,CO2Equivalent,AverageVehicleSpeed,All_Vehicle
2023-03-13 00:00:00,0.0,0.0,0.0,0.0547008547,0.0,23.4,0.0
2023-03-13 01:00:00,0.0,0.0,0.0,0.0300500835,0.0,23.96,0.0
2023-03-13 02:00:00,0.0,0.0,0.0,0.0177319588,0.0,24.25,0.0
2023-03-13 03:00:00,0.0,0.0,0.0,0.0177319588,0.0,24.25,0.0
2023-03-13 04:00:00,0.0,0.0,0.0,0.0177319588,0.0,24.25,0.0
2023-03-13 05:00:00,0.0,0.0,0.0,-0.0190779014,0.0,100.64,0.0
2023-03-13 06:00:00,97.0749588766,8.4151667138,1.2021666734,0.014806359,0.0113340287,97.31,106.6922922638
2023-03-13 07:00:00,477.1635630365,41.3640240403,5.9091462915,0.2509490847,0.0632382131,79.38,524.4367333683
2023-03-13 08:00:00,632.2984536353,54.8122498507,7.8303214072,0.5388692902,0.0869730062,64.16,694.9410248932
2023-03-13 09:00:00,614.9336113662,53.3069384466,7.6152769209,0.4196321485,0.0853141243,69.61,675.8558267337
2023-03-13 10:00:00,584.8174298582,50.6962477896,7.2423211128,0.299979426,0.0811358917,75.95,642.7559987605999
2023-03-13 11:00:00,579.758417974,50.2576956758,7.1796708108,0.3003161222,0.0804340189,75.92,637.1957844606001
2023-03-13 12:00:00,577.1410113523,50.0307997457,7.1472571065,0.2938721978,0.0800708874,76.3,634.3190682045
2023-03-13 13:00:00,575.3374050183,49.8744499706,7.1249214244,0.2784462156,0.0798206603,77.22,632.3367764133001
2023-03-13 14:00:00,588.4082772066,51.0075286743,7.2867898106,0.3216251118,0.0816340756,74.71,646.7025956915
2023-03-13 15:00:00,618.5637257919,53.6216232885,7.6602318984,0.4195649317,0.0858177559,69.59,679.8455809788
2023-03-13 16:00:00,670.8096166725,58.1506788447,8.307239835,0.6400452952,0.0930662009,60.36,737.2675353522001
2023-03-13 17:00:00,728.5747003725,63.1581783605,9.0225969086,1.0418186271,0.1010803628,48.56,800.7554756416
2023-03-13 18:00:00,747.7587102155,64.8211885017,9.260169786,1.2656109913,0.1037418973,43.59,821.8400685032
2023-03-13 19:00:00,697.1805745762,60.4367061552,8.633815165,0.8484751612,0.0967248319,53.84,766.2510958964
2023-03-13 20:00:00,600.3368875358,52.041587774,7.4345125391,0.3612704328,0.0810577477,72.88,659.8129878489
2023-03-13 21:00:00,336.6223617877,29.1808858516,4.1686979788,0.125161857,0.0417122961,87.88,369.97194561810005
2023-03-13 22:00:00,64.3864080352,5.5814842879,0.7973548983,0.0300500835,0.0075174628,95.84,70.7652472214
2023-03-13 23:00:00,0.0,0.0,0.0,0.0547008547,0.0,23.4,0.0
2023-03-14 00:00:00,0.0,0.0,0.0,0.0547008547,0.0,23.4,0.0
2023-03-14 01:00:00,0.0,0.0,0.0,0.0300500835,0.0,23.96,0.0
2023-03-14 02:00:00,0.0,0.0,0.0,0.0177319588,0.0,24.25,0.0
2023-03-14 03:00:00,0.0,0.0,0.0,0.0177319588,0.0,24.25,0.0
2023-03-14 04:00:00,0.0,0.0,0.0,0.0177319588,0.0,24.25,0.0
2023-03-14 05:00:00,0.0,0.0,0.0,-0.0064412238,0.0,99.36,0.0
2023-03-14 06:00:00,97.9718630347,8.4929169194,1.2132738456,0.0331697994,0.0114387471,95.6,107.6780537997
2023-03-14 07:00:00,481.1696300017,41.7112991952,5.9587570279,0.2600446628,0.0637695688,78.79,528.8396862248
2023-03-14 08:00:00,641.1368424042,55.5784259669,7.9397751381,0.5851535033,0.0881932647,62.29,704.6550435092
2023-03-14 09:00:00,620.6979430715,53.8066328359,7.6866618337,0.4409704403,0.0861138511,68.63,682.1912377411
2023-03-14 10:00:00,590.3611919819,51.176821596,7.3109745137,0.318287223,0.0819050174,74.89,648.8489880916
2023-03-14 11:00:00,589.3326699488,51.0876617912,7.2982373987,0.3276756436,0.0817623232,74.36,647.7185691387001
2023-03-14 12:00:00,585.9003911209,50.7901267845,7.2557323978,0.3214564695,0.0812861386,74.71,643.9462503032
2023-03-14 13:00:00,585.6612625121,50.7693973695,7.2527710528,0.3093613321,0.0812529626,75.4,643.6834309344
2023-03-14 14:00:00,604.9269946137,52.4394917931,7.4913559704,0.373562114,0.083925835,71.9,664.8578423772001
2023-03-14 15:00:00,641.8034833656,55.6362152763,7.9480307538,0.5054687533,0.0890419732,65.65,705.3877293957
2023-03-14 16:00:00,708.254226867,61.3966512454,8.7709501779,0.9440399347,0.1047436143,52.06,778.4218282903
2023-03-14 17:00:00,325.5958999659,28.225031576,4.032147368,1.7494500311,0.0538109076,38.1333333333,357.8530789099
2023-03-14 18:00:00,47.9484411789,4.1565212167,0.5937887452,3.0374680269,0.0088115119,32.9066666667,52.6987511408
2023-03-14 19:00:00,124.3754493664,10.7817727005,1.5402532429,3.8128620031,0.0172554929,32.9066666667,136.69747530979998
2023-03-14 20:00:00,484.65588019,42.0135128338,6.0019304048,0.4379160402,0.0649711038,69.13,532.6713234286
2023-03-14 21:00:00,343.6649459605,29.7913885043,4.2559126435,0.1436499295,0.0426159388,86.49,377.7122471083
2023-03-14 22:00:00,65.3108267571,5.661619657,0.8088028081,0.0177319588,0.0076253937,97.0,71.7812492222
2023-03-14 23:00:00,0.0,0.0,0.0,0.0547008547,0.0,23.4,0.0
2023-03-15 00:00:00,0.0,0.0,0.0,0.0547008547,0.0,23.4,0.0
2023-03-15 01:00:00,0.0,0.0,0.0,0.0547008547,0.0,23.4,0.0
