DateTime,Heavy_Vehicle,Commercial_Vehicle,Light_Vehicle,All_Vehicle,CongestionIndex,CO2Equivalent,AverageVehicleSpeed
2023-04-19 14:00:00,65.6950379754,3.649724332,0.0,62.0453136434,0.2675167022,0.0052225595,31.8
2023-04-19 15:00:00,67.9069208384,3.7726067132,0.0,64.1343141251,0.2842574888,0.0053983976,62.76
2023-04-19 16:00:00,71.5307452737,3.973930293,0.0,67.5568149807,0.3169934641,0.0056864808,61.2
2023-04-19 17:00:00,69.6063918419,3.867021769,0.0,65.7393700729,0.3006254764,0.0055335004,61.98
2023-04-19 18:00:00,62.2010381524,3.4556132307,0.0,58.7454249217,0.2510170217,0.0049447969,64.45
2023-04-19 19:00:00,54.1874280404,3.0104126689,0.0,51.1770153715,0.1935352799,0.0043077388,67.54
2023-04-19 20:00:00,49.8411090147,2.7689505008,0.0,47.0721585139,0.1520869068,0.0039622194,69.96
2023-04-19 21:00:00,20.7147720735,1.1508206708,0.0,19.5639514028,0.1110095224,0.0016467626,72.59
2023-04-19 22:00:00,2.8179156124,0.1565508674,0.0,2.661364745,0.0207700101,0.0002240159,78.96
2023-04-19 23:00:00,0.0,0.0,0.0,0.0,0.0207700101,0.0,19.74
2023-04-20 00:00:00,0.0,0.0,0.0,0.0,0.0538702929,0.0,19.12
2023-04-20 01:00:00,0.0,0.0,0.0,0.0,0.0538702929,0.0,19.12
2023-04-20 02:00:00,0.0,0.0,0.0,0.0,0.0538702929,0.0,19.12
2023-04-20 03:00:00,0.0,0.0,0.0,0.0,0.0538702929,0.0,19.12
2023-04-20 04:00:00,0.0,0.0,0.0,0.0,0.0538702929,0.0,19.12
2023-04-20 05:00:00,0.0,0.0,0.0,0.0,-0.0040122315,0.0,81.15
2023-04-20 06:00:00,57.9319566776,3.2184420376,0.0,54.71351464,0.2100232823,0.0046054177,67.49
2023-04-20 07:00:00,89.4068224231,4.9670456902,0.0,84.4397767329,0.4241372225,0.0071075756,57.23
2023-04-20 08:00:00,104.7054359623,5.8169686646,0.0,98.8884672977,0.5393741506,0.0083237697,52.47
2023-04-20 09:00:00,78.6645420579,4.3702523366,0.0,74.2942897214,0.3252813288,0.0062535964,60.88
2023-04-20 10:00:00,63.9555973293,3.5530887405,0.0,60.4025085887,0.2507759156,0.0050842791,64.44
2023-04-20 11:00:00,62.3624882498,3.4645826805,0.0,58.8979055693,0.2507759156,0.0049576317,64.44
2023-04-20 12:00:00,62.3624882498,3.4645826805,0.0,58.8979055693,0.2507759156,0.0049576317,64.44
2023-04-20 13:00:00,62.3624882498,3.4645826805,0.0,58.8979055693,0.2507759156,0.0049576317,64.44
2023-04-20 14:00:00,64.2370474705,3.5687248595,0.0,60.668322611,0.2591463089,0.0051066536,64.02
2023-04-20 15:00:00,67.6986364805,3.76103536,0.0,63.9376011205,0.2842574888,0.0053818396,62.76
2023-04-20 16:00:00,71.5307452737,3.973930293,0.0,67.5568149807,0.3169934641,0.0056864808,61.2
2023-04-20 17:00:00,69.6063918419,3.867021769,0.0,65.7393700729,0.3006254764,0.0055335004,61.98
2023-04-20 18:00:00,62.2010381524,3.4556132307,0.0,58.7454249217,0.2510170217,0.0049447969,64.45
2023-04-20 19:00:00,54.1874280404,3.0104126689,0.0,51.1770153715,0.1935352799,0.0043077388,67.54
2023-04-20 20:00:00,49.8411090147,2.7689505008,0.0,47.0721585139,0.1520869068,0.0039622194,69.96
