DateTime,Heavy_Vehicle,Commercial_Vehicle,Light_Vehicle,All_Vehicle,CongestionIndex,CO2Equivalent,AverageVehicleSpeed
2023-03-23 13:00:00,1228.7716937611,108.096612198,33.0907996525,1087.5842819106,0.2279183048,0.1705071169,106.36
2023-03-23 14:00:00,1177.1968459047,103.5595070904,31.7018899256,1041.9354488887,0.2017673049,0.1633504753,108.64
2023-03-23 15:00:00,1191.3414627359,104.8038270629,32.0828042029,1054.4548314701,0.209384771,0.1653132141,107.96
2023-03-23 16:00:00,1240.0580886736,109.0894907451,33.3947420648,1097.5738558637,0.2280241442,0.1720732424,106.32
2023-03-23 17:00:00,1274.8477442712,112.1499810939,34.3316268655,1128.3661363119,0.246277205,0.176900733,104.76
2023-03-23 18:00:00,1254.0013147663,110.3160941177,33.7702328932,1109.9149877554,0.2389876591,0.1740080357,105.38
2023-03-23 19:00:00,1149.1838065995,101.0951643149,30.9474992801,1017.1411430046,0.1946310466,0.1594633231,109.31
2023-03-23 20:00:00,833.7798634557,73.3486773956,22.4536767537,737.9775093064,0.1315004983,0.1156971644,115.41
2023-03-23 21:00:00,184.8153708169,16.2584437523,4.977074618,163.5798524465,0.7954836539,0.0256453955,90.485
2023-03-23 22:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,125.68
2023-03-23 23:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-24 00:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-24 01:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-24 02:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-24 03:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-24 04:00:00,0.0,0.0,0.0,0.0,0.0535829567,0.0,30.98
2023-03-24 05:00:00,0.0,0.0,0.0,0.0,-0.0057873896,0.0,131.32
2023-03-24 06:00:00,0.0,0.0,0.0,0.0,0.0126831879,0.0,128.93
2023-03-24 07:00:00,393.0641847963,34.5783573699,10.5852114398,347.9006159867,0.0907474236,0.0545424681,119.77
2023-03-24 08:00:00,1023.112082823,90.0044740724,27.5523900222,905.5552187284,0.1946310466,0.1419693279,109.31
2023-03-24 09:00:00,1230.8570375344,108.2800625479,33.1469579228,1089.4300170637,0.2316981132,0.1707964839,106.0
2023-03-24 10:00:00,1244.6579665388,109.4941478643,33.5186166931,1101.6452019814,0.2316981132,0.1727115318,106.0
2023-03-24 11:00:00,1202.9082123856,105.8213687736,32.3942965633,1064.6925470487,0.2168674731,0.1669182422,107.3
2023-03-24 12:00:00,1122.0023251896,98.7039747474,30.2155024737,993.0828479685,0.1834839356,0.1556915598,110.33
2023-03-24 13:00:00,1053.8033281833,92.7044220484,28.3789047087,932.7200014262,0.1499519657,0.146228114,113.54
2023-03-24 14:00:00,1032.0349495351,90.7894300309,27.7926826625,913.4528368417,0.1424571229,0.1432074849,114.28
2023-03-24 15:00:00,1036.3540398531,91.1693859117,27.9089956872,917.2756582542,0.1424571229,0.1438068116,114.28
2023-03-24 16:00:00,1057.9494914432,93.0691653155,28.4905608109,936.3897653169,0.1574468085,0.1468034449,112.8
2023-03-24 17:00:00,1064.4281269202,93.6390991366,28.6650303479,942.1239974357,0.1574468085,0.1477024349,112.8
2023-03-24 18:00:00,1044.9922204892,91.9292976732,28.1416217367,924.9213010793,0.1499519657,0.1450054649,113.54
2023-03-24 19:00:00,807.8210952938,71.0650514711,21.7546075932,715.0014362295,0.1240038288,0.1120950675,116.17
2023-03-24 20:00:00,182.7308996802,16.0750701694,4.9209398478,161.7348896631,0.0945141712,0.0253561496,119.29
2023-03-24 21:00:00,0.0,0.0,0.0,0.0,0.0684283774,0.0,122.21
2023-03-24 22:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,125.68
2023-03-24 23:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-25 00:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-25 01:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-25 02:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-25 03:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-25 04:00:00,0.0,0.0,0.0,0.0,0.0535829567,0.0,30.98
2023-03-25 05:00:00,0.0,0.0,0.0,0.0,0.0089644513,0.0,129.4
2023-03-25 06:00:00,0.0,0.0,0.0,0.0,0.0089644513,0.0,129.4
2023-03-25 07:00:00,0.0,0.0,0.0,0.0,0.0238393977,0.0,127.52
2023-03-25 08:00:00,0.0,0.0,0.0,0.0,0.0238393977,0.0,127.52
2023-03-25 09:00:00,0.0,0.0,0.0,0.0,0.0275867412,0.0,127.06
2023-03-25 10:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,125.68
2023-03-25 11:00:00,0.0,0.0,0.0,0.0,0.0535829567,0.0,123.92
2023-03-25 12:00:00,0.0,0.0,0.0,0.0,0.0535829567,0.0,123.92
2023-03-25 13:00:00,0.0,0.0,0.0,0.0,0.0535829567,0.0,123.92
2023-03-25 14:00:00,0.0,0.0,0.0,0.0,0.0535829567,0.0,123.92
2023-03-25 15:00:00,0.0,0.0,0.0,0.0,0.0535829567,0.0,123.92
2023-03-25 16:00:00,0.0,0.0,0.0,0.0,0.0684124386,0.0,122.2
2023-03-25 17:00:00,0.0,0.0,0.0,0.0,0.075859057,0.0,121.36
2023-03-25 18:00:00,0.0,0.0,0.0,0.0,0.0833056754,0.0,120.52
2023-03-25 19:00:00,0.0,0.0,0.0,0.0,0.0684124386,0.0,122.2
2023-03-25 20:00:00,0.0,0.0,0.0,0.0,0.0609976977,0.0,123.06
2023-03-25 21:00:00,0.0,0.0,0.0,0.0,0.0535829567,0.0,123.92
2023-03-25 22:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,125.68
2023-03-25 23:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-26 00:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-26 01:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-26 03:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,62.84
2023-03-26 04:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-26 05:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,125.68
2023-03-26 06:00:00,0.0,0.0,0.0,0.0,0.7622541087,0.0,93.58
2023-03-26 07:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,125.68
2023-03-26 08:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,125.68
2023-03-26 09:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,125.68
2023-03-26 10:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,125.68
2023-03-26 11:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,125.68
2023-03-26 12:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,125.68
2023-03-26 13:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,125.68
2023-03-26 14:00:00,0.0,0.0,0.0,0.0,0.0462058641,0.0,124.8
2023-03-26 15:00:00,0.0,0.0,0.0,0.0,0.0609976977,0.0,123.06
2023-03-26 16:00:00,0.0,0.0,0.0,0.0,0.075859057,0.0,121.36
2023-03-26 17:00:00,361.2928570873,31.7833931728,9.729610155,319.7798537595,0.1055520349,0.0501338074,118.1
2023-03-26 18:00:00,120.4309523624,10.5944643909,3.243203385,106.5932845865,0.0833185315,0.0167112691,120.53
2023-03-26 19:00:00,0.0,0.0,0.0,0.0,0.0535829567,0.0,123.92
2023-03-26 20:00:00,0.0,0.0,0.0,0.0,0.0535829567,0.0,123.92
2023-03-26 21:00:00,0.0,0.0,0.0,0.0,0.0462058641,0.0,124.8
2023-03-26 22:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,125.68
2023-03-26 23:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-27 00:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-27 01:00:00,0.0,0.0,0.0,0.0,0.0388287715,0.0,31.42
2023-03-27 02:00:00,0.0,0.0,0.0,0.0,0.0238393977,0.0,31.88
2023-03-27 03:00:00,0.0,0.0,0.0,0.0,0.0238393977,0.0,31.88
2023-03-27 04:00:00,0.0,0.0,0.0,0.0,0.0238393977,0.0,31.88
2023-03-27 05:00:00,0.0,0.0,0.0,0.0,-0.0207020702,0.0,133.32
2023-03-27 06:00:00,0.0,0.0,0.0,0.0,0.0053072675,0.0,129.89
2023-03-27 07:00:00,839.9781204372,73.8939459631,22.620595703,743.4635787712,0.1351200713,0.1165572484,115.24
2023-03-27 08:00:00,1344.2885391659,118.258776336,36.2016662253,1189.8280966046,0.2833685194,0.1865364935,101.77
2023-03-27 09:00:00,1352.782253291,119.0059791944,36.4304017942,1197.3458723024,0.2797533295,0.1877151004,102.05
2023-03-27 10:00:00,1266.1658001841,111.3862194058,34.0978222671,1120.6817585112,0.2353428862,0.175696007,105.69
2023-03-27 11:00:00,1196.3424935895,105.2437741219,32.217481874,1058.8812375935,0.2168674731,0.1660071683,107.3
2023-03-27 12:00:00,1119.8137522576,98.5114431968,30.1565642439,991.1457448168,0.1798773222,0.1553878685,110.66
2023-03-27 13:00:00,1053.8033281833,92.7044220484,28.3789047087,932.7200014262,0.1499519657,0.146228114,113.54
2023-03-27 14:00:00,1019.631356801,89.6982701674,27.4586541329,902.4744325007,0.1351539242,0.1414863346,115.02
2023-03-27 15:00:00,1032.2195089418,90.8056659572,27.797652844,913.6161901406,0.1424571229,0.1432330948,114.28
