DateTime,Heavy_Vehicle,Commercial_Vehicle,Light_Vehicle,All_Vehicle,CongestionIndex,CO2Equivalent,AverageVehicleSpeed
2023-03-13 00:00:00,0.0,0.0,0.0,0.0,0.0601617796,0.0,19.78
2023-03-13 01:00:00,0.0,0.0,0.0,0.0,0.0365793376,0.0,20.23
2023-03-13 02:00:00,0.0,0.0,0.0,0.0,0.0125543216,0.0,20.71
2023-03-13 03:00:00,0.0,0.0,0.0,0.0,0.0125543216,0.0,20.71
2023-03-13 04:00:00,0.0,0.0,0.0,0.0,0.0125543216,0.0,20.71
2023-03-13 05:00:00,0.0,0.0,0.0,0.0,-0.0143537341,0.0,85.11
2023-03-13 06:00:00,48.3185023302,3.0011492131,1.2004596852,44.1168934319,0.033430357,0.0063230204,81.19
2023-03-13 07:00:00,230.7376484295,14.3315309584,5.7326123833,210.6735050878,0.1525015902,0.0301946207,72.81
2023-03-13 08:00:00,366.4876766707,22.7632097311,9.1052838924,334.6191830472,0.2416393647,0.0479590411,67.56
2023-03-13 09:00:00,375.4014657457,23.3168612264,9.3267444906,342.7578600287,0.4798894074,0.0491255109,57.96
2023-03-13 10:00:00,338.7454497782,21.0400900483,8.4160360193,309.2893237105,0.2594811626,0.0443286582,66.6
2023-03-13 11:00:00,334.2050087392,20.758075077,8.3032300308,305.1437036314,0.2777047942,0.0437344904,65.65
2023-03-13 12:00:00,336.1030486674,20.8759657557,8.3503863023,306.8766966094,0.2835703097,0.0439828703,65.35
2023-03-13 13:00:00,333.8809036951,20.7379443289,8.2951777316,304.8477816347,0.2747720365,0.0436920776,65.8
2023-03-13 14:00:00,333.1401887043,20.6919371866,8.2767748746,304.1714766431,0.2747720365,0.0435951467,65.8
2023-03-13 15:00:00,327.381455121,20.3342518709,8.1337007483,298.9135025018,0.2655623649,0.0428415515,66.28
2023-03-13 16:00:00,320.9712181832,19.9361005083,7.9744402033,293.0606774716,0.2504472272,0.0420026998,67.08
2023-03-13 17:00:00,312.9390529267,19.4372082563,7.7748833025,285.7269613679,0.2328315022,0.0409516005,68.04
2023-03-13 18:00:00,300.9004438083,18.6894685595,7.4757874238,274.735187825,0.2120443556,0.0393762129,69.21
2023-03-13 19:00:00,284.6771935018,17.681813261,7.0727253044,259.9226549364,0.1765204139,0.0372532178,71.3
2023-03-13 20:00:00,268.6206959911,16.684515279,6.6738061116,245.2623746006,0.1434637646,0.0351520442,73.36
2023-03-13 21:00:00,113.4638392033,7.0474434288,2.8189773715,103.597418403,0.0989073948,0.0148480216,76.35
2023-03-13 22:00:00,15.7624529373,0.9790343439,0.3916137376,14.3918048558,0.0365793376,0.0020626945,80.92
2023-03-13 23:00:00,0.0,0.0,0.0,0.0,0.0601617796,0.0,19.78
2023-03-14 00:00:00,0.0,0.0,0.0,0.0,0.0601617796,0.0,19.78
2023-03-14 01:00:00,0.0,0.0,0.0,0.0,0.0365793376,0.0,20.23
2023-03-14 02:00:00,0.0,0.0,0.0,0.0,0.0125543216,0.0,20.71
2023-03-14 03:00:00,0.0,0.0,0.0,0.0,0.0125543216,0.0,20.71
2023-03-14 04:00:00,0.0,0.0,0.0,0.0,0.0244259893,0.0,20.47
2023-03-14 05:00:00,0.0,0.0,0.0,0.0,-0.008412382,0.0,84.6
2023-03-14 06:00:00,0.0,0.0,0.0,0.0,0.039436611,0.0,80.71
2023-03-14 07:00:00,213.6177771729,13.2681849176,5.307273967,195.0423182883,0.137641303,0.0279542926,73.79
2023-03-14 08:00:00,326.6950912896,20.291620577,8.1166482308,298.2868224819,0.2745563497,0.0427517331,65.82
2023-03-14 09:00:00,341.7365779024,21.2258744039,8.4903497616,312.020353737,0.2985080231,0.044720081,64.6
2023-03-14 10:00:00,342.0980302853,21.2483248624,8.499329945,312.3503754779,0.2894903037,0.0447673812,65.05
2023-03-14 11:00:00,347.8634044006,21.6064226336,8.6425690534,317.6144127136,0.3045385062,0.0455218453,64.3
2023-03-14 12:00:00,348.6214348143,21.653505268,8.6614021072,318.3065274391,0.3075817531,0.0456210421,64.15
2023-03-14 13:00:00,342.4948557172,21.2729724048,8.5091889619,312.7126943505,0.2924775399,0.0448193102,64.9
2023-03-14 14:00:00,336.1117063789,20.8765035018,8.3506014007,306.8846014764,0.2777047942,0.0439840032,65.65
2023-03-14 15:00:00,334.6216186859,20.7839514712,8.3135805885,305.5240866262,0.280637552,0.0437890085,65.5
2023-03-14 16:00:00,333.5105461997,20.7149407577,8.2859763031,304.5096291389,0.2747720365,0.0436436121,65.8
2023-03-14 17:00:00,331.9828637669,20.6200536501,8.24802146,303.1147886567,0.2747720365,0.0434436977,65.8
2023-03-14 18:00:00,324.7638887319,20.1716701076,8.068668043,296.5235505813,0.2594811626,0.0424990135,66.6
2023-03-14 19:00:00,306.0346263688,19.0083618863,7.6033447545,279.4229197281,0.2209272418,0.0400480785,68.71
2023-03-14 20:00:00,283.2514727686,17.5932591782,7.0373036713,258.6209099192,0.1734647254,0.0370666462,71.49
2023-03-14 21:00:00,117.689761306,7.3099230625,2.923969225,107.4558690185,0.1107253918,0.0154010311,75.55
2023-03-14 22:00:00,16.1061674434,1.000383071,0.4001532284,14.705631144,0.0244259893,0.0021076735,81.88
2023-03-14 23:00:00,0.0,0.0,0.0,0.0,0.0601617796,0.0,19.78
2023-03-15 00:00:00,0.0,0.0,0.0,0.0,0.0601617796,0.0,19.78
2023-03-15 01:00:00,0.0,0.0,0.0,0.0,0.0601617796,0.0,19.78
2023-03-15 02:00:00,0.0,0.0,0.0,0.0,0.0365793376,0.0,20.23
2023-03-15 03:00:00,0.0,0.0,0.0,0.0,0.0365793376,0.0,20.23
2023-03-15 04:00:00,0.0,0.0,0.0,0.0,0.0365793376,0.0,20.23
2023-03-15 05:00:00,0.0,0.0,0.0,0.0,0.0035675813,0.0,83.59
2023-03-15 06:00:00,0.0,0.0,0.0,0.0,0.0365211661,0.0,80.93
2023-03-15 07:00:00,211.4502939291,13.1335586291,5.2534234517,193.0633118483,0.1346489276,0.027670653,73.98
2023-03-15 08:00:00,320.2999321738,19.8944057251,7.95776229,292.4477641587,0.2596552379,0.0419148545,66.6
2023-03-15 09:00:00,338.7086440481,21.0378039781,8.4151215913,309.2557184787,0.2924775399,0.0443238418,64.9
2023-03-15 10:00:00,344.0198216571,21.3676907862,8.5470763145,314.1050545565,0.2924775399,0.0450188692,64.9
2023-03-15 11:00:00,349.7941008849,21.7263416699,8.6905366679,319.3772225471,0.310625,0.0457744987,64.0
2023-03-15 12:00:00,350.1731160917,21.7498829871,8.6999531948,319.7232799098,0.310625,0.0458240971,64.0
2023-03-15 13:00:00,341.7717035504,21.2280561211,8.4912224485,312.0524249808,0.2924775399,0.0447246776,64.9
2023-03-15 14:00:00,334.6302763974,20.7844892172,8.3137956869,305.5319914932,0.2747720365,0.0437901414,65.8
2023-03-15 15:00:00,333.1401887043,20.6919371866,8.2767748746,304.1714766431,0.2747720365,0.0435951467,65.8
2023-03-15 16:00:00,333.1401887043,20.6919371866,8.2767748746,304.1714766431,0.2747720365,0.0435951467,65.8
2023-03-15 17:00:00,331.9828637669,20.6200536501,8.24802146,303.1147886567,0.2747720365,0.0434436977,65.8
2023-03-15 18:00:00,327.0506475028,20.3137048138,8.1254819255,298.6114607634,0.2655623649,0.0427982616,66.28
2023-03-15 19:00:00,307.9122482596,19.124984364,7.6499937456,281.1372701501,0.223948616,0.0402937865,68.54
2023-03-15 20:00:00,283.6232624243,17.6163517034,7.0465406814,258.9603700396,0.1734647254,0.037115299,71.49
2023-03-15 21:00:00,117.689761306,7.3099230625,2.923969225,107.4558690185,0.1107253918,0.0154010311,75.55
2023-03-15 22:00:00,16.1061674434,1.000383071,0.4001532284,14.705631144,0.0485,0.0021076735,80.0
2023-03-15 23:00:00,0.0,0.0,0.0,0.0,0.0601617796,0.0,19.78
2023-03-16 00:00:00,0.0,0.0,0.0,0.0,0.0601617796,0.0,19.78
2023-03-16 01:00:00,0.0,0.0,0.0,0.0,0.0601617796,0.0,19.78
2023-03-16 02:00:00,0.0,0.0,0.0,0.0,0.0485,0.0,20.0
2023-03-16 03:00:00,0.0,0.0,0.0,0.0,0.0485,0.0,20.0
2023-03-16 04:00:00,0.0,0.0,0.0,0.0,0.0365793376,0.0,20.23
2023-03-16 05:00:00,0.0,0.0,0.0,0.0,0.0005482757,0.0,83.84
2023-03-16 06:00:00,0.0,0.0,0.0,0.0,0.0304444919,0.0,81.41
