DateTime,HeavyVehicle Value,CommercialVehicle Value,LightVehicle Value,CongestionIndex,CO2Equivalent,AverageVehicleSpeed
2023-04-19 14:00:00,29.1856361259,0.0,0.0,0.4204120358,0.0022113028,34.68
2023-04-19 15:00:00,33.7217820399,0.0,0.0,0.4352941176,0.0026175191,51.0
2023-04-19 16:00:00,34.7908718364,0.0,0.0,0.4129709948,0.0027183149,51.81
2023-04-19 17:00:00,34.4955659421,0.0,0.0,0.4129709948,0.0026952417,51.81
2023-04-19 18:00:00,33.6929760985,0.0,0.0,0.3833373757,0.002632533,52.92
2023-04-19 19:00:00,32.0338697119,0.0,0.0,0.3157010677,0.002502902,55.65
2023-04-19 20:00:00,29.610700411,0.0,0.0,0.2409548523,0.0023135726,59.03
2023-04-19 21:00:00,17.0850716148,0.0,0.0,0.1137523216,0.0013349077,65.83
2023-04-19 22:00:00,3.281738889,0.0,0.0,0.0166666667,0.0002564121,72.0
2023-04-19 23:00:00,0.0,0.0,0.0,0.0166666667,0.0,18.0
2023-04-20 00:00:00,0.0,0.0,0.0,0.0166666667,0.0,18.0
2023-04-20 01:00:00,0.0,0.0,0.0,0.0166666667,0.0,18.0
2023-04-20 02:00:00,0.0,0.0,0.0,0.0166666667,0.0,18.0
2023-04-20 03:00:00,0.0,0.0,0.0,0.0166666667,0.0,18.0
2023-04-20 04:00:00,0.0,0.0,0.0,0.0463121784,0.0,17.49
2023-04-20 05:00:00,4.8375078157,0.0,0.0,0.0016536817,0.000377969,73.16
2023-04-20 06:00:00,25.7502544095,0.0,0.0,0.2709855705,0.0020119444,58.01
2023-04-20 07:00:00,33.0880988673,0.0,0.0,0.3230972745,0.0025852721,55.33
2023-04-20 08:00:00,35.0639117522,0.0,0.0,0.4651841081,0.0027396483,49.97
2023-04-20 09:00:00,35.035573076,0.0,0.0,0.4278530767,0.0027374341,51.27
2023-04-20 10:00:00,34.5447835911,0.0,0.0,0.4055299539,0.0026990872,52.08
2023-04-20 11:00:00,34.2969726935,0.0,0.0,0.4055299539,0.002679725,52.08
2023-04-20 12:00:00,33.7990540286,0.0,0.0,0.3759398496,0.0026408212,53.2
2023-04-20 13:00:00,34.0978052276,0.0,0.0,0.3907349018,0.0026641635,52.64
2023-04-20 14:00:00,34.5442093737,0.0,0.0,0.4055299539,0.0026990424,52.08
2023-04-20 15:00:00,35.0861777307,0.0,0.0,0.4352941176,0.002741388,51.0
2023-04-20 16:00:00,34.9385247836,0.0,0.0,0.4204120358,0.0027298514,51.54
2023-04-20 17:00:00,34.8400894855,0.0,0.0,0.4278530767,0.0027221604,51.27
2023-04-20 18:00:00,33.4789403363,0.0,0.0,0.3757494721,0.0026158097,53.22
2023-04-20 19:00:00,31.1266680055,0.0,0.0,0.2859091747,0.0024320197,56.94
2023-04-20 20:00:00,28.6725791554,0.0,0.0,0.2034666193,0.0022402744,60.85
2023-04-20 21:00:00,12.0240839013,0.0,0.0,0.0986658965,0.0009394776,66.71
2023-04-20 22:00:00,1.6692362838,0.0,0.0,0.0166666667,0.0001304224,72.0
2023-04-20 23:00:00,0.0,0.0,0.0,0.0166666667,0.0,18.0
2023-04-21 00:00:00,0.0,0.0,0.0,0.0166666667,0.0,18.0
2023-04-21 01:00:00,0.0,0.0,0.0,0.0166666667,0.0,18.0
2023-04-21 02:00:00,0.0,0.0,0.0,0.0166666667,0.0,18.0
2023-04-21 03:00:00,0.0,0.0,0.0,0.0166666667,0.0,18.0
2023-04-21 04:00:00,0.0,0.0,0.0,0.0463121784,0.0,17.49
2023-04-21 05:00:00,0.0,0.0,0.0,-0.0430498689,0.0,76.53
2023-04-21 06:00:00,24.3492116674,0.0,0.0,0.2408703144,0.0019024767,60.12
2023-04-21 07:00:00,34.659528804,0.0,0.0,0.4130864887,0.0027080526,51.84
2023-04-21 08:00:00,36.2735964609,0.0,0.0,0.5099982091,0.0028341646,48.53
2023-04-21 09:00:00,34.0602562831,0.0,0.0,0.3980575441,0.0026612297,52.41
